title,citation,year,pmid
Blood rheology in children with the S/β+-thalassemia syndrome.,Clin. Hemorheol. Microcirc. 2018 ;69(1-2):207-214.,2018,29630544
Safety and success of exhaled breath condensate collection in asthma.,Arch. Dis. Child. 2003 Apr;88(4):358-60.,2003,12651772
L-arginine levels are diminished in adult acute vaso-occlusive sickle cell crisis in the emergency department.,Br. J. Haematol. 2003 Feb;120(3):532-4.,2003,12580975
Temporal association of nitric oxide levels and airflow in asthma after whole lung allergen challenge.,J. Appl. Physiol. 2003 Jul;95(1):436-40; discussion 435.,2003,12576414
Impact of axial diffusion on nitric oxide exchange in the lungs.,J. Appl. Physiol. 2002 Dec;93(6):2070-80.,2002,12391103
Low levels of nitric oxide and carbon monoxide in alpha 1-antitrypsin deficiency.,J. Appl. Physiol. 2002 Dec;93(6):2038-43.,2002,12391056
Faster rise of exhaled breath temperature in asthma: a novel marker of airway inflammation?,Am. J. Respir. Crit. Care Med. 2002 Jan;165(2):181-4.,2002,11790651
High levels of nitric oxide in individuals with pulmonary hypertension receiving epoprostenol therapy.,Lung 2001 ;179(4):233-43.,2001,11891614
Exhaled markers of inflammation.,Curr Opin Allergy Clin Immunol 2001 Jun;1(3):217-24.,2001,11964692
Alterations in exhaled gas profile during allergen-induced asthmatic response.,Am. J. Respir. Crit. Care Med. 2001 Nov;164(10 Pt 1):1844-8.,2001,11734434
Effects of nitrogen dioxide exposure and ascorbic acid supplementation on exhaled nitric oxide in healthy human subjects.,Thorax 2001 Oct;56(10):774-8.,2001,11562516
Role of exhaled nitric oxide in asthma.,Immunol. Cell Biol. 2001 Apr;79(2):178-90.,2001,11264714
"Noninvasive assessment of airway inflammation in children: induced sputum, exhaled nitric oxide, and breath condensate.",Eur. Respir. J. 2000 Nov;16(5):1008-15.,2000,11153569
Arginine therapy: a novel strategy to induce nitric oxide production in sickle cell disease.,Br. J. Haematol. 2000 Nov;111(2):498-500.,2000,11122090
Endogenous nitric oxide in allergic airway disease.,J. Allergy Clin. Immunol. 2000 Mar;105(3):438-48.,2000,10719291
"Effect of inhaled ozone on exhaled nitric oxide, pulmonary function, and induced sputum in normal and asthmatic subjects.",Thorax 1999 Dec;54(12):1061-9.,1999,10567624
Sickle cell acute chest syndrome: pathogenesis and rationale for treatment.,Blood 1999 Sep;94(5):1555-60.,1999,10477680
Comparison of exhaled nitric oxide to spirometry during emergency treatment of asthma exacerbations with glucocorticoids in children.,Ann. Allergy Asthma Immunol. 1999 Feb;82(2):161-4.,1999,10071519
Effect of natural grass pollen exposure on exhaled nitric oxide in asthmatic children.,Am. J. Respir. Crit. Care Med. 1999 Jan;159(1):262-6.,1999,9872848
Exhaled nitric oxide is not elevated in the inflammatory airways diseases of cystic fibrosis and bronchiectasis.,Eur. Respir. J. 1998 Dec;12(6):1290-4.,1998,9877479
Acute inhalation of cigarette smoke increases lower respiratory tract nitric oxide concentrations.,Thorax 1998 Aug;53(8):677-9.,1998,9828855
A significant proportion of exhaled nitric oxide arises in large airways in normal subjects.,Respir Physiol 1998 Jul;113(1):33-8.,1998,9776548
Exhaled and nasal nitric oxide is increased in laboratory animal allergy.,Clin. Exp. Allergy 1998 Jul;28(7):876-80.,1998,9720822
Cross sectional study of exhaled nitric oxide levels following lung transplantation.,Thorax 1998 Jun;53(6):454-8.,1998,9713443
A two-compartment model of pulmonary nitric oxide exchange dynamics.,J. Appl. Physiol. 1998 Aug;85(2):653-66.,1998,9688744
Single-exhalation profiles of NO and CO2 in humans: effect of dynamically changing flow rate.,J. Appl. Physiol. 1998 Aug;85(2):642-52.,1998,9688743
Measurement of endogenous nitric oxide in the lungs of patients with the acute respiratory distress syndrome.,Am. J. Respir. Crit. Care Med. 1998 Mar;157(3 Pt 1):993-7.,1998,9517623
"Nitric oxide, the biological mediator of the decade: fact or fiction?",Eur. Respir. J. 1997 Mar;10(3):699-707.,1997,9073009
Nitric oxide is present in exhaled breath in humans: direct GC-MS confirmation.,Biochem. Biophys. Res. Commun. 1994 Jun;201(2):883-7.,1994,8003027
Endogenous nitric oxide in expired air: effects of acute exercise in humans.,Life Sci. 1994 ;55(24):1903-9.,1994,7990650
Diagnostic value of a pattern of exhaled breath condensate biomarkers in asthmatic children.,Allergol Immunopathol (Madr) 2017 Jan - Feb;45(1):2-10.,,27592280
Evaluation of Acute Exogenous Hypoxia Impact on the Fraction of Exhaled Nitric Oxide in Healthy Males.,Folia Med (Plovdiv) 2015 Jul-Dec;57(3-4):230-4.,,27180350
The effect of omalizumab on small airway inflammation as measured by exhaled nitric oxide in moderate-to-severe asthmatic patients.,Allergy Asthma Proc 2014 May-Jun;35(3):241-9.,,24801467
Cardiovascular biomarkers in exhaled breath.,Prog Cardiovasc Dis 2012 Jul-Aug;55(1):34-43.,,22824108
Assessing clinical and spirometric control and the intensity of the inflammatory process in asthma.,J Pediatr (Rio J) 2010 Mar-Apr;86(2):93-100.,,20361119
"Inflammation, oxidative stress and systemic effects in mild chronic obstructive pulmonary disease.",Int J Immunopathol Pharmacol 2007 Oct-Dec;20(4):753-63.,,18179748
Non-invasive assessment of airway inflammation in ship-engine workers.,Int J Immunopathol Pharmacol 2006 Jul-Sep;19(3):601-8.,,17026845
The effects of age on exhaled breath nitric oxide levels.,Lung 2006 Mar-Apr;184(2):113-9.,,16622781
Exhaled nitric oxide decreases upon acute exposure to high-altitude hypoxia.,Am. J. Hum. Biol. 2006 Mar-Apr;18(2):196-202.,,16493632
Patterns of arginine and nitric oxide in patients with sickle cell disease with vaso-occlusive crisis and acute chest syndrome.,J. Pediatr. Hematol. Oncol. 2000 Nov-Dec;22(6):515-20.,,11132219
Exhaled nitric oxide: a novel biomarker of adverse respiratory health effects in epidemiological studies.,Arch. Environ. Health 2000 Nov-Dec;55(6):418-23.,,11128880
